Settling Time,Offset Error (%),Control,Perturbation,Set Point
877.0560747663551,27.788366404543197,P,26,SP2
251.93193382684174,9.395652692659775,PI,26,SP2
288.85799880279245,4.009160707609989,PID,26,SP2
156.82227411735846,8.705675117656234,P,27,SP1
224.38038522734507,-0.13513499171509935,PI,27,SP1
246.39410510326286,0.9967534135109448,PID,27,SP1
428.02803738317755,15.26428718069221,P,27,SP2
279.85,3.3312682479921523,PI,27,SP2
315.0420206809577,2.1266607170839027,PID,27,SP2
358.1775700934579,14.673327945808209,P,28,SP1
185.66768690386658,3.955222007725226,PI,28,SP1
217.76314984625103,2.7375985100490885,PID,28,SP1
709.79,21.035553566099416,P,28,SP2
255.89507207987486,9.807310362034388,PI,28,SP2
288.1775700934579,5.841677966999638,PID,28,SP2
960.0,21.14958163628534,P,29,SP1
176.25813571030164,5.960452946305711,PI,29,SP1
206.98130841121494,5.016187679491135,PID,29,SP1
960.0,28.22007753273764,P,29,SP2
579.61,12.461246108843138,PI,29,SP2
284.4782556792437,5.7286606921561605,PID,29,SP2
323.76635514018693,13.799766966013314,P,30,SP1
199.73,1.4818967383393928,PI,30,SP1
226.70935237582674,2.1895145866200902,PID,30,SP1
683.9158878504672,20.89114416087877,P,30,SP2
268.8681754187197,6.8646918697671016,PI,30,SP2
301.4862185479902,4.019421810258749,PID,30,SP2
614.7383177570093,19.4560300424596,P,31,SP1
185.52805406405992,3.6834811969673935,PI,31,SP1
214.81910015162993,7.514483627163142,PID,31,SP1
887.9532710280374,25.74730672039219,P,31,SP2
257.38704954510234,9.76826854531864,PI,31,SP2
289.1,4.7025107546596665,PID,31,SP2
156.89991761819866,7.455557537773815,P,32,SP1
213.56592899439804,1.177383702976497,PI,32,SP1
240.04,1.7344669484741448,PID,32,SP1
426.9065420560748,14.28554670791589,P,32,SP2
274.51450206393025,5.376216670586207,PI,32,SP2
310.27,3.1699810457501343,PID,32,SP2
335.33644859813086,14.206443437959212,P,33,SP1
194.36578758441186,2.8021590138490935,PI,33,SP1
223.44101713691828,2.407132711472539,PID,33,SP1
701.373831775701,20.90049887507297,P,33,SP2
262.98865775692127,8.16922098795959,PI,33,SP2
297.66543277550835,4.204120902511919,PID,33,SP2
305.1121495327103,13.274795245625908,P,34,SP1
199.13,1.8061560875414409,PI,34,SP1
227.86844213355386,4.046259874892163,PID,34,SP1
580.44,19.697140101260178,P,34,SP2
264.2110168172088,6.552608724569549,PI,34,SP2
299.5,3.689176985644914,PID,34,SP2
960.0,23.52713087939968,P,35,SP1
825.8598130841121,13.055358394223104,PI,35,SP1
206.85868742427357,9.54964318676947,PID,35,SP1
960.0,28.32027579149769,P,35,SP2
758.5514018691589,15.013498598912008,PI,35,SP2
278.10280373831773,5.859105609551113,PID,35,SP2
960.0,27.939593022357407,P,36,SP1
960.0,17.723089782437125,PI,36,SP1
720.37,11.036810603764138,PID,36,SP1
960.0,29.160795773512483,P,36,SP2
808.8504672897196,16.894655560623374,PI,36,SP2
272.04672897196264,8.052662086944599,PID,36,SP2
156.16421760286963,7.83831714421928,P,37,SP1
211.48109412266567,1.4038261086494532,PI,37,SP1
238.92949306657755,1.69525649564432,PID,37,SP1
424.06542056074767,14.316103582701173,P,37,SP2
271.2593215625405,5.465906878654291,PI,37,SP2
308.5779728888824,2.960873389195526,PID,37,SP2
269.01,11.28238708492231,P,38,SP1
210.14,0.5147228502264503,PI,38,SP1
236.2103141645093,1.8620829337313782,PID,38,SP1
487.3551401869159,18.41226293348771,P,38,SP2
268.34045865817797,4.449423254506153,PI,38,SP2
