Settling Time,Offset Error (%),Control,Perturbation,Set Point
271.3738317757009,8.224756444803578,PID,17,SP2
276.68224299065423,10.719515122590048,P,18,SP1
195.91265452198957,1.6655893059986229,PI,18,SP1
226.5185675535055,2.833279192177127,PID,18,SP1
616.0841121495328,17.854707533572565,P,18,SP2
267.7455740702874,7.8231725665729,PI,18,SP2
301.6174162110872,4.358123989286629,PID,18,SP2
274.06542056074767,11.188904364869757,P,19,SP1
199.77,1.8373499224236867,PI,19,SP1
228.72128617304787,2.09524536481223,PID,19,SP1
581.5981308411215,18.49547229332344,P,19,SP2
264.27674080176416,6.722555577744152,PI,19,SP2
300.29,3.7154669683909622,PID,19,SP2
345.33644859813086,15.201770525409714,P,20,SP1
186.21029309396152,2.3926512508430835,PI,20,SP1
217.83457518448412,6.213983044093808,PID,20,SP1
748.9252336448598,22.159499657355983,P,20,SP2
258.29062435116333,8.462624492954447,PI,20,SP2
292.86708347386383,4.317075234492294,PID,20,SP2
158.18056872737614,9.163387527829075,P,21,SP1
221.49939078492423,0.7799485777403992,PI,21,SP1
244.03891133306757,1.430774420893525,PID,21,SP1
441.3738317757009,15.42928089683181,P,21,SP2
279.75,4.300049400474903,PI,21,SP2
313.6194343151556,2.6450771956742427,PID,21,SP2
373.5420560747664,15.859016864560802,P,22,SP1
183.12366978568187,3.8160478515960223,PI,22,SP1
