,G1,G2,G3,SP2_1,SP2_2,SP2_3,R1,R2,R3,SP1_1,SP1_2,SP1_3,NC,Time
14,11583.18938586497,10389.024712567729,10762.404512029696,9651.125776397514,9745.163132719352,9797.403866285156,1697.0687588536553,1618.7584579617615,1604.086302713305,9192.75713232972,8686.185936825323,9042.732919254657,180.12422360248445,150
15,12280.094089973538,11313.95036527718,11630.73494080528,10476.406905911688,10565.737517915119,10480.845969672786,1709.122847434199,1630.0680347364344,1609.0168641988198,9766.56025538707,9281.891265840033,9672.185718007353,162.01117318435755,160
16,12976.065159922835,12112.988523403039,12451.787238077177,11230.160957069611,11112.866658875773,11145.659490111104,1689.6108449222857,1644.4610439585313,1588.639399529292,10525.407410886206,9645.739615106097,9975.934719468903,170.8542713567839,170
17,13613.256113256111,12908.494208494209,13084.109972041004,11842.049025769955,11701.7787017787,11762.368300503891,1744.9683726279468,1662.826761187417,1648.2263513513515,10630.074755606669,10088.086045228903,10385.539385539383,148.64864864864862,180
18,14344.334273030687,13598.888274676003,13997.337206487533,12326.183999442002,12336.272780717225,12219.45730452675,1756.236150680595,1700.2310034115071,1667.9114860214106,10898.992810363325,10324.50178018218,10730.16104468423,139.91769547325103,190
19,15188.19897084048,14485.227795674182,14712.428219852338,12836.256011838697,12871.795227524972,12705.796607860499,1808.3338889259282,1729.2131947118469,1738.6638805236312,11172.96273753973,10574.772397413906,11025.106734609557,124.52830188679245,200
20,15730.307167235493,15215.355090558178,15446.466107632847,13119.417487520192,13132.933429861756,12900.207499461407,1834.823296267753,1776.8492233102613,1758.5246898941052,11270.969418891123,10605.131448385655,11111.109842820777,129.6928327645051,210
21,16567.037720499236,16073.728033151716,16256.15744118633,13378.024426646487,13468.705419035947,13282.232859912174,1865.933217525574,1798.4691026930382,1779.3170559094124,11396.909648502005,10721.318394597498,11200.497611464969,140.12738853503186,220
22,17052.14689356495,16716.428100761343,16896.007990568505,13631.974584215825,13711.332478219585,13480.102137162654,1941.976234653192,1868.436220233581,1833.1610093054974,11363.293020353538,10590.500997561516,11066.996724057242,121.03746397694523,230
23,17736.809202300574,17438.1997561246,17815.65807019037,13791.837043767982,13928.541888219308,13624.333362160914,1989.9804496578688,1863.9678483977427,1881.1517783291974,11253.307436806845,10602.659875495188,11187.997202552671,123.65591397849462,240
24,18238.53658536585,17884.830917874395,18057.33990147783,13796.230366492146,14062.278481012658,13748.159203980098,2020.5152224824355,1959.1855203619907,1911.1111111111109,11388.905852417302,10474.660194174756,11039.600997506233,120.0,250
25,18672.377246266766,18218.308080808078,18770.039682539682,13918.890257252326,14149.887028176501,13804.297385620914,2087.9629629629626,2032.2712418300653,1982.3628544862854,11469.598765432098,10127.314814814814,10718.774281274282,118.05555555555554,260
26,19196.173169930036,18847.873756020766,19405.88766751995,14077.018381232861,14256.487697901235,14265.013903089255,2216.7005868521405,2193.828629860279,2063.843138603308,11227.431334938577,10311.393069325488,10548.082296886398,111.35371179039302,270
27,19861.034899969327,19562.588229254896,20052.435532698688,14390.242550242549,14543.195333893009,14584.412703659567,2258.052871023582,2304.924198182625,2119.870779606129,11087.155301920402,10374.335637169313,10477.838178657852,116.42411642411643,280
28,20711.965811965812,20494.099309730573,21260.43878273178,14763.365876336587,14978.501923512107,14743.180306054557,2367.5039601719845,2386.243386243386,2194.644284572342,11243.236714975847,10178.258967629046,10753.919563735515,111.11111111111111,290
29,20995.651269246773,20976.903193824797,21561.037037037036,15091.80840880642,15247.66081871345,15277.752704348448,2454.6560846560847,2454.8336472065284,2274.8631239935585,11037.443541102077,10380.445699937225,10698.687522473929,112.96296296296296,300
30,21560.855709922547,21450.249237606517,21703.381537457866,15636.042601883637,15574.767379930447,15761.552680221812,2510.2869083018563,2565.476138331391,2379.852125693161,10817.470273141174,11191.20743704847,11128.00027384131,120.14787430683919,310
31,22018.303642388153,21836.170896241565,21739.28309935377,15992.93931030925,16195.031238797561,16348.530629531531,2654.8397274103986,2649.5895135524006,2497.7544739541777,11218.66247873315,11620.444761910781,11357.301117371788,118.37455830388691,320
32,22465.230618476824,22380.899123823652,22734.009009009005,16534.163173869056,16733.86943281309,16794.648742819474,2753.9501937170326,2847.6482296249737,2630.5793627222197,11553.210975787277,11473.118883002604,11635.62939014746,118.24324324324324,330
33,22909.121254212834,22834.913276448086,23150.438025249343,17026.96054679261,17150.25103946027,17290.99312309575,2886.508629744701,2976.1347671844833,2793.998767559138,11968.152274028165,11774.828612424935,12074.096457024278,123.55848434925865,340
34,23450.784636990902,23329.63216921982,23336.933385460787,17574.689293193005,17683.42656293534,17567.608024203324,3043.7369122406244,3171.5868894408068,2927.3098645213877,12387.632202315415,12750.21706527745,12991.418710684024,127.831715210356,350
35,23973.777450619553,23690.96745304615,23626.912780556177,17938.231157831884,17905.840164975263,17959.116381351745,3200.9569377990433,3296.8081538219326,3068.496966911124,12559.165893022924,12818.957984371516,12869.226168568273,132.37639553429028,360
36,24277.236601611432,24193.736603953323,24287.703167420816,18293.938088055736,18327.990667420814,18289.315726290515,3338.711972452261,3476.4777705954175,3227.499468985537,12608.550376352234,12771.479459214126,13169.253323184053,126.69683257918551,370
37,24661.288555185907,24691.24090372233,24599.27722517519,18410.38593701977,18502.629923700308,18490.575411453785,3473.174566389938,3597.1032595141646,3372.116972098399,12928.360481963404,13109.246601728028,13449.996375892435,129.27191679049034,380
