,G1,G2,G3,SP2_1,SP2_2,SP2_3,R1,R2,R3,SP1_1,SP1_2,SP1_3,NC,Time
15,12658.600524299254,12594.908840729275,11887.002452367478,9502.802775505257,9912.865497076024,10511.330409356726,2659.7827903091065,2571.0526315789475,2526.2113617376776,10318.985448116417,9765.497076023392,10910.368870895185,134.5029239766082,160
16,13299.933862433862,13319.8806709445,12553.610333022096,10340.90276195539,10712.675408327581,11307.409938988885,2629.2732406722043,2561.413454270597,2511.0825110825112,11109.745690390851,10482.946682946682,11163.570226070226,137.56613756613757,170
17,14237.774840802593,14120.67740117148,13341.688624126473,10796.365626710454,11254.80406514889,11818.349753694582,2644.868042169391,2516.780995350122,2491.92118226601,11317.999613638558,10834.185333209403,11591.49790184273,128.07881773399015,180
18,14909.959328397119,14971.107062479903,14100.159014112503,11490.630682361949,11915.536447136994,12425.282254173502,2596.3938121094156,2497.5949115484004,2458.7235850058405,11551.214933778285,11127.125012694221,11884.533754797922,134.88372093023256,190
19,15535.287518031093,15708.154506437768,14812.044417194631,12171.69032684054,12510.830598333754,13158.482217120803,2633.7332019981704,2471.614912059244,2478.9120081128553,12000.017808487524,11562.528350605395,12098.75076640098,124.46351931330473,200
20,16479.182295573893,16597.842984842595,15673.312147739536,12938.442794151773,13300.403225806449,13939.545561572873,2621.3937918441875,2474.6248375280634,2449.7758126790386,12347.399349837458,12066.749379652605,12754.569892473119,137.09677419354838,210
21,17124.45773718104,17161.54806491885,16476.82584269663,13531.442959813749,13924.383313961,14663.755066440923,2650.828190114469,2508.71359779867,2433.373461744248,12610.069247972408,12358.27068682133,12799.30010267089,127.34082397003745,220
22,17827.444831591176,17884.659443463323,16956.17499032133,13470.172104318446,14212.073880702981,14976.61149825784,2639.3557979321067,2457.2792001211938,2417.444831591173,12699.094996607675,12281.049609007026,12726.302310978686,135.8885017421603,230
23,18301.886016753175,18608.59206156766,17740.96397369196,14120.06783493499,14869.75995316159,15545.35519125683,2675.658221559861,2505.9074595014063,2450.9962168978564,12828.999083596374,12584.57087753134,12988.32307608518,121.31147540983606,240
24,19056.051310652536,19473.6307191958,18367.230327713907,14776.6721532246,15696.768340101962,16049.720594015414,2691.8969464981737,2509.592244856455,2467.35633800341,12897.488942787842,12607.566462167688,12945.440559174913,125.76687116564416,250
25,19710.910040847346,19949.785700370154,19053.229337712095,16550.906457340436,16135.239919722677,16534.73164992307,2686.4791288566244,2520.306023458859,2447.817314746882,12802.754872563717,12590.798350824587,12946.491404443548,129.3103448275862,260
26,20148.708330007714,20391.52024446142,19511.240330200922,17060.599257051883,16774.195503710987,17175.75355501052,2725.0267379679144,2541.20107210835,2470.8853238265,12877.27479998342,12703.208556149733,12887.820034057302,114.97326203208556,270
27,20687.712475848068,21079.818283335873,20142.74574725881,17540.84321475626,16931.119707715454,17206.268290380438,2734.549284312317,2545.8754208754203,2445.7431457431453,12476.16452292711,12431.283639312835,12484.861401741196,116.16161616161615,280
28,21269.704433497533,21821.586924556043,20696.221648930452,17904.004329004325,17548.809523809523,17702.254530130638,2800.846915947587,2639.74358974359,2504.6871663463594,12336.059039000214,12321.581476627347,12297.733792312105,111.9047619047619,290
29,22006.350900731064,22417.1698331381,21757.487311469282,18314.98337338285,17967.32827779077,18018.767059890248,2872.136992997944,2700.665320185339,2588.738507445335,12206.07498997008,12165.921598135117,12210.563919895623,115.12415349887135,300
30,22471.231637215245,23094.981289896547,22773.527842020994,18731.7876397631,18288.73937307672,18384.11091890217,2955.9913770440085,2786.029504476106,2650.4638218923933,12069.729459181792,12062.868949232587,11985.290796160363,116.8831168831169,310
31,23210.043774319067,23604.482323232325,23302.400278293135,19216.54411764706,18900.48076923077,18820.18129770992,3087.4157032755297,2881.25,2747.9166666666665,12065.716019417476,12015.903465346535,12023.509414225942,118.75,320
32,23899.204679409704,24273.47419659882,23920.18927898514,19475.581665803827,19239.59410974885,19094.37205474264,3221.987521611666,3029.840564880732,2839.1247041907554,11956.828180759272,11871.026291808192,11937.790340613828,119.5219123505976,330
33,24099.07037951879,24772.05417128395,24747.39778030404,20017.320167449587,19565.08323690986,19682.73029573339,3342.752689988107,3136.727763657278,2966.6513429623215,12201.886000483772,11957.66124713493,12098.750408455306,124.75633528265107,340
34,24715.260430507577,25378.194021162206,25130.573738929535,20285.365691046067,19875.471698113208,19915.0586172182,3523.35902205687,3261.6785946649316,3093.9441670297256,12078.980470043034,11987.571342241321,12016.473553400776,124.52830188679245,350
35,25366.754941832973,25797.838868070812,25462.872801041573,20573.615944321416,20144.740987860256,20237.333580452847,3651.5908983246222,3383.8209769402433,3220.8142201834867,12119.3322614206,11892.55475374631,12025.078660616698,122.93577981651376,360
36,25435.86592382201,26254.282794500188,25690.889006716156,20986.24167645907,20666.756349548,20416.38499490026,3802.8149386845043,3508.04347826087,3379.042910401699,12128.04347826087,11905.10362441039,12347.82608695652,128.6231884057971,370
37,25964.60499908776,26522.724867724868,26231.80253762778,21342.890430638778,20783.988957902002,20480.165059112427,3951.331425101917,3625.8948023653907,3502.7248677248676,12046.586656342755,11833.185394040658,12318.429093076982,132.27513227513225,380
38,26353.50581549035,26905.33597501595,26290.945341373274,21712.637288592414,21007.926473448744,20719.807967576435,4104.25299167965,3727.5933507620975,3642.3758506839163,11989.804906694506,11848.625982033347,12175.55578932604,128.8659793814433,390
39,26677.60475382719,27271.99375881674,26773.30062342458,21392.106914559823,21146.477285653717,20827.90614273272,4282.920620226799,3905.234267170988,3798.614696265703,11975.93866228936,11899.048776621044,12231.397967529776,130.87248322147653,400
