,G1,G2,G3,SP2_1,SP2_2,SP2_3,R1,R2,R3,SP1_1,SP1_2,SP1_3,NC,Time
22,19228.647340908108,17636.10163064088,19321.82721387536,21254.646794509787,19189.855384394632,20128.82193715429,3495.9306904699397,3223.106628718542,3367.2127417519914,18090.336284875535,17477.21274175199,17598.57886197057,119.45392491467578,230
23,19969.296375266524,18340.804106073567,19822.591362126248,21675.011944577163,19650.75726565698,20586.04001861331,3540.9937888198756,3264.355062413315,3439.893852277753,18152.595314653194,17624.844720496894,17704.99139414802,114.28571428571429,240
24,20929.275852352777,19179.107229662906,20489.01876792391,22102.84060535678,20270.396751114426,21234.066443287942,3628.0124898649233,3285.8484215001945,3443.261389260949,18034.80995788688,17683.406075870756,17762.676634762058,118.34319526627218,250
25,21413.0061997098,19676.430718453466,21193.544501987235,22574.327871235553,20741.613978699257,21538.769325472927,3662.420719616124,3342.9781885053194,3519.9244387035114,18087.496959186396,17633.820331814255,17783.21841503071,110.803324099723,260
26,22118.3153228041,20421.552205471806,21699.6996996997,23131.982811540824,21307.549175970227,21959.941520467837,3810.3548574752763,3396.783625730994,3563.1313131313127,18065.512265512265,17469.29089893914,17659.669745312065,111.11111111111111,270
27,22606.53063560656,22068.781454933658,22243.607081386774,22906.990429584665,21691.10543556716,22193.596721913033,3774.0602698564035,3426.04902368093,3630.800714821006,17815.808689302667,17053.471026965002,17664.182401979557,108.43373493975902,280
28,23056.73900774717,21837.266812194845,22693.641931225517,22715.93861598505,21579.3893428969,22240.52015088346,3874.512245745123,3477.947520148139,3673.454690325151,17605.94707597513,16958.00937924226,17194.281365514245,107.30593607305937,290
29,23421.422214806167,21724.488705774154,22893.89581963271,22665.114639848707,21584.667456272266,22008.636987800757,3946.1394917068465,3497.6860312231524,3721.642694962949,17281.57276761727,16483.388026771976,16874.28472585833,110.62906724511932,300
30,23878.585198223118,22150.423454131032,23386.298352277736,22577.45405647692,21648.24341907717,22081.658547637933,4062.200732725569,3595.2585839652384,3808.4999792986378,17178.361844341227,16224.138290117671,16649.94740164107,105.15463917525773,310
31,24425.10814188215,22620.51652382129,23862.394460304928,22670.61608447747,21811.43665386947,22279.145256297783,4189.511994677729,3752.4752475247524,3949.053862915249,17210.19404266008,16171.599287588333,16539.78745364884,106.93069306930693,320
32,25356.977919659483,23464.957983193275,24577.703081232492,22885.47619047619,22103.817951959547,22376.277056277057,4434.614751850836,3897.142857142857,4110.178571428572,17244.963924963926,16146.511750726166,16464.172586161538,108.57142857142857,330
33,26075.364334923153,24119.53076283517,25308.016499282636,23168.912218066416,22448.937908496733,22611.13936228697,4594.847554406378,4126.71568627451,4309.311556481,17320.282937736494,16126.775530679057,16494.44618272841,106.61764705882352,340
34,27066.569954867828,24787.81299753944,26125.258102163567,23213.109982004866,22432.924530524728,23024.201314334045,4843.753555580841,4355.974794632379,4522.8306752794915,17374.39395760708,16222.730867126302,16531.91184189646,115.24822695035462,350
35,27573.2817264837,25333.40161602367,26984.452510586816,23237.65617191404,22600.723025583982,23211.82967235244,5090.039649164964,4579.189352692075,4734.032983508246,17476.043557168785,16306.990542207604,16631.99814234297,113.79310344827587,360
36,27950.627863378704,25727.547068676715,27493.003478933126,23290.479933351588,22581.806629805244,23149.644815643787,5347.032782962431,4877.538735343383,4946.264983986162,17532.923747121946,16287.390518096288,16627.8451078924,117.2529313232831,370
37,28278.1710961175,26070.902815955043,28070.22853884283,23365.97663650938,22304.078252305488,23012.365306482956,5698.489457615537,5005.856711076194,5161.230517848165,17559.754846193315,16453.092619161485,16651.986928104576,116.01307189542484,380
38,28589.68835272153,26542.410405424103,28684.389196745047,23301.864801864805,22341.695890657316,22820.744761043272,5993.026289383905,5237.554112554113,5391.406175317848,17572.121212121216,16397.896159042655,16679.09989126838,121.21212121212122,390
39,28920.04619906589,26578.1665441952,28713.251030041203,23177.33474044844,22206.782285889978,22445.794807402053,6222.0139869424565,5391.828646118817,5604.744808030342,17535.692181785635,16331.731281673627,16528.696811994618,121.68486739469579,400
40,29216.743079534823,26845.79262457437,29466.838973372604,23203.18310824036,22364.2717513569,22707.71813314055,6486.836954394206,5610.060737834708,5934.524157441286,17547.204489480842,16384.71191048834,16674.57410513584,122.13740458015266,410
41,29699.01992623866,27156.031426346915,30015.523007726908,23334.60863907669,22367.945059728205,22625.86910042594,6680.186469265367,5778.72561449986,6155.2569579871715,17664.797318321973,16564.6548922848,16831.47323397125,122.93853073463268,420
42,30085.790013679893,27608.65646398812,29980.92625109745,23473.620188816265,22347.63814616756,22557.87992072786,6897.788504714863,6047.080642345959,6579.142377671789,17792.44499326448,16719.280332220223,16801.351581094867,122.05882352941175,430
43,30403.7028116914,28048.251977907148,30460.716184400397,23629.004329004325,22388.70582154164,22676.260676260674,7157.1656413761675,6278.83843650267,6792.467659231936,17863.9325586694,16835.887445887445,17009.402056277057,125.54112554112555,440
44,30759.755326301427,28495.216011904075,30641.65633896829,23725.994407616494,22565.74193106701,22736.534146734903,7417.360114474371,6581.346132198083,7040.5835837354125,18069.663234830983,17069.70730766449,17154.47084920769,129.4452347083926,450
45,31203.96335329712,28808.280112044817,31060.76700343059,24100.329348873966,22636.683620816748,22756.801851175256,7547.82913165266,6725.5040630113435,7239.803921568628,18125.058873106762,17413.13151766731,17248.489478436004,133.0532212885154,460
46,31630.046721565137,29154.085872576175,31247.742859872003,23852.37782169645,23008.088137037852,22689.762564305503,7504.284660913929,6703.358967901905,7259.770522920702,18333.495545406906,17198.268883723347,17361.014744960667,128.80886426592798,470
47,31918.981857069106,29149.575424575425,31466.419774255595,23660.69067036116,22672.633245307665,22910.559510911626,7507.067434699014,6689.2803798143605,7197.340553822035,18001.68926817863,17130.08094056481,17212.941588612728,138.73626373626374,480
48,32215.964415251638,29493.944124267404,31541.916015177365,23655.127569977707,22455.580952911907,22488.995292849577,7494.36978051752,6672.345200831701,7113.0605583985,17829.885790480606,16968.106759462917,17121.98993530878,140.32697547683924,490
49,32276.40071815826,29703.17749864767,31644.33146125585,23451.481149954863,22354.445574002457,22341.3508007554,7434.757394161995,6628.034705086365,7026.867696728062,17652.06121709962,16646.861359254006,16903.011362415964,136.67117726657645,500
50,32554.20113417616,29993.98570578723,31908.642580261283,23171.85519853024,22136.221324362246,22228.2500960079,7365.270556608265,6622.630945433323,6957.477152648865,17462.643580922304,16603.485688516328,16815.783261991583,139.59731543624162,510
51,32981.15964240102,30217.2823674476,32397.343669250644,23159.74479889043,22135.09887359199,22089.062330623306,7320.088397790056,6598.240215924427,6969.606340819022,17347.643454038996,16509.99737876802,16712.58409387223,144.0,520
52,33340.45618045517,30643.979346178476,32398.46066664975,23050.901372783006,22019.686561638762,22144.403035096657,7362.448147878612,6588.237064843999,6998.500169251734,17308.61110094764,16464.2358270395,16607.599637216146,143.04635761589404,530
53,33467.241150735776,31032.24322943281,32528.580946035978,23119.389444884444,22131.98881009694,22264.712115860122,7315.746333045729,6601.635563011113,6993.07371158716,17392.466743782534,16389.500919180227,16746.084724005137,147.3684210526316,540
54,33572.094240837694,31011.130385416014,32527.97363782262,23121.48199593974,22020.192400346903,22120.452051251585,7375.90376464722,6567.509260600542,6989.222313282715,17289.252710783054,16379.693727358876,16578.208890519225,147.90575916230367,550
55,33650.06996268657,31118.9485911271,32810.3125,22997.70593707713,21971.22061965812,21932.464356763925,7325.17549052774,6582.88622214941,7013.933634020618,17241.508152173912,16345.815373563219,16534.70571926489,148.4375,560
56,33727.426875116085,30902.22674562053,32460.217410869256,22813.351208864777,21876.52170632326,21822.012522728204,7332.16834490175,6568.484186096719,6962.431916036966,17053.738972132756,16180.134109328399,16375.564571316843,148.96373056994818,570
57,33543.54624941599,30805.66450005217,32338.730979041058,22674.994551850814,21853.35448067021,21850.256865929263,7297.36052581378,6493.928318003508,6923.924027716058,17039.35076211698,16074.729856706601,16408.12482010782,156.33074935400515,580
58,33353.171152779876,30731.20445830067,32047.289402045186,22454.23411458244,21602.465388546472,21579.327166366413,7292.230867574886,6499.946927605937,6867.322535766532,16855.10821792852,16058.364456516467,16179.133254038292,152.95629820051414,590
59,32913.36310546204,30767.24023385597,31978.322256276046,22307.935144020623,21539.31502685176,21473.828592469854,7243.206241443334,6481.3172091676015,6856.434058898847,16779.47470633709,15920.164289869377,16028.238739366896,154.92957746478874,600
60,33135.34024516869,30542.942794772884,32058.697909402268,22360.41712182579,21484.633663065677,21501.282996363876,7198.69739309669,6444.841415102781,6879.761866658131,16668.585987261147,15701.373035829018,15949.265790216814,155.4140127388535,610
61,33298.8561091096,30440.100462932,32001.22752300643,22154.281749481706,21551.465772484586,21333.372286705595,7189.000490779398,6414.958728188017,6823.689644218552,16623.316138242455,15744.424755881082,15946.60631088522,157.56035578144852,620
62,33064.87303598968,30696.152429230337,31856.168979716334,22215.669727806733,21450.43540712811,21347.603103307472,7201.507646636981,6460.759493670886,6828.06851816865,16675.16241377001,15761.396316752987,15947.823402284657,159.49367088607593,630
63,33406.832750582755,30851.042325810307,32229.678234930336,22178.267045454544,21640.4192097655,21244.57622497468,7186.202576950608,6435.357987939851,6868.10014644587,16598.334932437836,15819.879832810868,15935.422182995,162.87878787878788,640
64,33321.62844123074,30912.98214999818,32041.146820739672,22224.70799640611,21490.810826752786,21329.390637708468,7208.928351214699,6450.035115961586,6837.760665069137,16615.60343473913,15826.723772041518,15935.728898116251,161.0062893081761,650
