,Set point 1,Set point 2,Constant Green,Constant Red,Time (min)
77,0.12268778162364989,0.12684231527310094,0.13111117580518988,0.10625978615772129,77.08029197080293
78,0.12391356268560032,0.1282406091000251,0.1326364020714323,0.10660406849982147,78.0813347236705
79,0.12514140363059773,0.1296464175527606,0.13417033438650677,0.10691986246160051,79.08237747653807
80,0.1263692821711436,0.13105860036773306,0.13571307548760278,0.10720700309713584,80.08342022940565
81,0.1275952684083727,0.13247604593113269,0.13726465510460756,0.10746554986288256,81.08446298227321
82,0.1288179559952193,0.13389791994676373,0.13882502504411173,0.1076959026866629,82.08550573514079
83,0.13003855603387593,0.1353242834683547,0.1403941396086863,0.1078986745948553,83.08654848800835
84,0.13126205063431706,0.13675653354742887,0.1419720395638457,0.10807430715285485,84.08759124087592
85,0.13249219511696644,0.1381967973798953,0.14355878135682046,0.10822319683922628,85.08863399374349
86,0.1337298276003298,0.13964673203537922,0.14515446074848504,0.10834564887413892,86.08967674661106
87,0.13497398414029135,0.1411066225126216,0.14675918451927267,0.10844189924304451,87.09071949947864
88,0.1362227175551641,0.1425758059196161,0.14837303020073886,0.10851228672881824,88.0917622523462
89,0.13747365864477615,0.1440531183366738,0.14999609887298015,0.10855711141293155,89.09280500521378
90,0.13872425173752848,0.14553720635619333,0.1516284780555326,0.10857671392431316,90.09384775808134
91,0.1399720865603028,0.147026749237731,0.15327019376748555,0.10857158752332448,91.09489051094891
92,0.141215391828664,0.14852075014740068,0.154921185597162,0.10854255783088237,92.09593326381649
93,0.1424559289770592,0.15001929680413834,0.15658141041993218,0.10849058722205138,93.09697601668405
94,0.14370056109203816,0.15152411287461856,0.15825090300925646,0.10841647439817265,94.09801876955163
95,0.14495443428605095,0.15303779537004428,0.15992970361540434,0.10832095108264797,95.09906152241919
96,0.14621875483401067,0.15456235048462807,0.1616179103720258,0.10820458917747006,96.10010427528677
97,0.14749237265823173,0.1560981242223428,0.16331560592395436,0.10806794268339336,97.10114702815434
98,0.14877284221274123,0.1576443431027378,0.1650228642103742,0.10791155837731184,98.1021897810219
99,0.15005718946437224,0.15919964735805603,0.16673978271065795,0.10773593666833733,99.10323253388948
100,0.15134223448802323,0.16076244793550265,0.16846642953501895,0.10754162860145774,100.10427528675704
101,0.15262497019872318,0.16233119835933066,0.17020282610206336,0.1073292749194135,101.10531803962462
