,G1,SP2_1,SP2_2,SP2_3,SP2_4,SP2_5,SP2_6,R1,SP1_1,SP1_2,SP1_3,SP1_4,SP1_5,SP1_6,NC,Time
31,24722.98946781056,19214.29089392868,21653.615728016983,22652.74887871642,21082.40323143972,21367.891881780768,20974.1918705157,3682.3252098622793,16001.91064079953,16158.675935914338,15877.10364926102,15100.314421787578,14873.239042710455,15827.75954576236,113.16872427983539,320
32,25403.231710888536,19742.333925440096,21905.120808277807,22666.4785472925,21230.45423843296,21570.209235209233,21394.648219648217,3800.9967086054044,16009.859584859583,16183.316736073388,15873.484712095296,15134.748102139405,14740.343915343914,15519.119410521,117.06349206349206,330
33,25824.31029773286,20210.104840268978,22045.904982118245,22830.39681684755,21339.284480176924,21806.014558384493,21459.57815487572,3902.5913662578305,15769.093604313917,16202.554072306908,15885.143191776086,15051.06446229621,14855.905709620241,15733.015654875717,118.54684512428298,340
34,26466.420185509505,20207.15715715716,22055.602887232282,22681.48148148148,21277.488137055527,21780.130130130132,21393.796752417442,4003.9304610733184,15748.387956301623,16287.175431659416,15842.195767195766,14999.4301994302,14812.332545311267,15720.496632996632,118.5185185185185,350
35,26814.628297362113,20731.22856296636,22100.579567450237,22778.304930806185,21291.838095019193,21697.988908382296,21575.69496402878,4132.0548424482295,15781.11921710435,16182.351302056948,15780.948943267533,15031.957215684406,14738.92789713341,15693.794964028775,118.70503597122301,360
36,27510.105313884742,21696.91068301226,22604.41298715972,22947.4691245707,21887.249827227788,22112.91068301226,21965.816343389615,4366.538519623454,15617.662819764399,16234.652179610901,16032.787816118063,15106.033032115034,14956.5409351131,15721.618647614028,119.08931698774082,370
37,27961.619878528894,22101.153956194168,22506.20472896082,23069.00851814903,21811.51188990894,22383.45508016317,22113.62659942094,4489.238249019642,15730.439345320983,16429.433469920292,15989.701711688156,15140.664569104443,14939.022204520561,15829.170850066936,120.48192771084338,380
38,28274.80209946653,22148.046424143973,22123.798229123036,22857.21192128313,21518.07798777209,22070.239505198053,21779.064491358935,4598.200903128491,15569.020111968124,16358.813739415164,15898.630894380154,15148.732056664818,14739.025938690369,15704.981844344768,125.83892617449665,390
39,28642.770857519376,22357.39936090388,22293.04047245858,22858.610208573526,21327.85593617354,21721.62341004338,21779.03707166229,4732.589587559161,15554.786099013985,16372.808518427148,15974.291380097264,14996.182638072418,14672.159790640395,15738.744129242725,123.15270935960591,400
40,29178.682274097173,23236.61180199702,22411.231199799768,22905.904502775516,21680.845441923964,22210.69524068223,22086.083210414177,4917.671785058896,15486.20862847438,16421.024333602585,15996.761361904471,15182.140136905888,14778.990443433613,15784.9857009165,121.16316639741518,410
41,29463.317384370013,23347.408293460925,22165.46384901648,22632.291163153455,21613.6178574553,22226.45453623549,21957.756799862065,5028.485641527223,15438.59649122807,16414.265218879493,15934.52009470316,15294.399378156319,14670.601064545262,15764.471785524416,127.59170653907496,420
42,29634.959372140103,23421.74332361248,22016.883546818102,22678.17960178789,21331.993641270208,21947.278103384553,21763.342265211424,4983.439353508783,15361.447874772142,16544.942886812045,15838.93040999532,15100.710388417698,14551.772952171523,15643.30218068536,126.16822429906541,430
43,29984.66584830861,23523.31178321626,22062.618955820344,22530.334139404724,21392.958857474987,22002.5315586678,21787.382441994858,5012.891740959272,15259.123652406903,16723.042787558916,15957.872273885407,15117.244516524594,14597.877147858391,15669.14697219521,125.9600614439324,440
44,30320.57018112653,23545.356158992523,21949.04853282162,22361.46281759095,20925.686829383325,21480.376541697296,21469.878787878788,4935.978960590359,15264.92469606242,16336.099761661562,15924.15329768271,15069.512404498242,14435.38701542933,15619.338058243606,128.78787878787878,450
45,30793.490419811253,23674.82474978727,22317.605348269262,22487.502823930503,21005.258016153213,21795.59276965291,21528.056552198836,4869.787328557943,15221.579931683642,16077.116340964965,16072.513743128435,14912.558243699727,14550.951153318525,15701.697752007647,128.93553223388304,460
46,31236.557715629104,23978.81791591318,21797.830113281972,22544.12058051253,20888.77636971068,21683.166212373184,21561.732083069845,4873.34891396059,15218.658427755703,15963.013762419409,15779.965329370976,14866.016054008656,14360.551409957056,15879.42769496237,136.70133729569093,470
47,31947.202536138753,23802.576933725737,21594.72512397252,22487.32165432545,20798.841896048234,21343.97620171007,21506.702826149016,4841.6612481953725,15196.165191740412,15769.841872713232,15632.390891124009,14757.075499638673,14264.460080930825,15662.543673969041,137.16814159292034,480
48,31562.677832288056,23867.47798147291,21629.013210293593,22079.802719192296,20534.1527178773,21408.109365386634,21359.81164076357,4875.399204849116,15230.062936550325,15759.44488553659,15605.70629739206,14547.810328041103,14119.435733614686,15539.780290871995,138.28238719068412,490
49,31580.08346411476,23882.25773009705,21514.216255442672,21924.11691769433,20322.45154956032,21266.104010544714,21241.309571962218,4821.318944929223,15009.002275414141,15576.117663893376,15443.48591836402,14494.38685911721,13966.785976558209,15362.049116632474,140.78374455732944,500
50,31419.079823990578,23682.78705205044,21241.092966165008,21844.081236958802,20183.59822838007,20981.378295408933,21123.49572067832,4819.322415126169,14901.105521092823,15438.892439278294,15318.303324155315,14245.518170590216,13808.539359927196,15299.885372016242,144.09221902017293,510
51,31157.722845404605,23690.24563060935,21104.895647999096,21606.907820599503,19994.849664003534,20791.77967196177,20691.294167730946,4731.7915561450045,14654.970050186175,15236.632728204144,15207.806513409962,14107.586650690098,13570.683652951591,15029.11183683924,140.80459770114945,520
52,30892.675647874832,23826.999394521736,21018.258628223473,21544.646770381078,20178.444624984873,20885.77559234356,20877.96269727403,4814.060258249641,14603.725409138438,15101.356299499344,15012.872794092842,14060.786830778525,13720.16742168348,14876.093799087143,142.03730272596846,530
53,30844.104828210788,23765.76128799618,20932.09643209643,21389.674947965104,19826.02701957541,20643.186461709614,20698.56702570457,4776.103514918509,14564.560009630433,15005.670383786728,15001.881047273071,13968.769295765494,13644.79211936839,14814.645606082071,145.2991452991453,540
54,30768.55478816617,23345.5182143397,20679.248595505618,21045.001146526025,19599.661607201524,20532.000574799164,20372.335716717742,4746.858192662016,14396.19987844598,14976.6351916857,14863.368493464803,13777.095991992443,13359.425000358746,14679.927943331706,148.87640449438203,550
55,30759.596152714865,23429.882349977328,20598.63587431878,20985.607937796383,19387.869920710353,20115.87760445075,20268.893914195705,4666.345420098413,14336.533653169978,14874.356193571133,14781.971780525362,13691.437631399413,13308.111846232818,14597.439894500938,147.47191011235955,560
56,30858.553515775402,23415.363128491623,20595.902610849575,20882.24642766907,19527.716851381167,20252.154350516845,20146.06402221288,4712.654280888658,14284.481431891285,14819.522455983852,14741.642668631623,13595.645420165461,13236.9997540494,14542.86808433952,146.64804469273744,570
57,30679.01554404145,23436.85968819599,20651.897983392646,20918.92230576441,19421.756601607347,20156.122448979593,20224.701670644394,4653.240740740741,14207.142857142857,14825.642760487144,14694.71218206158,13553.794369645042,13272.305764411027,14488.55421686747,150.0,580
