,G1,SP2_1,SP2_2,SP2_3,R1,SP1_1,SP1_2,SP1_3,NC,Time
12,10617.406198148046,10591.229355729663,11610.403397027598,10672.231354016845,2736.2537371636554,9831.333629585737,9737.070063694266,8200.911123296917,222.9299363057325,130
13,11810.79177233023,11450.982248520708,12553.899541753794,11480.412905455018,2818.23224852071,10602.585085400144,10286.982248520711,9032.381021526844,213.01775147928993,140
14,12595.352594929405,12271.968748814807,13270.1247771836,12378.490790255495,2887.1869240762558,11437.817084875907,10939.64858670741,9668.299823738535,203.2085561497326,150
15,13482.561944834035,13011.59420289855,14245.329142657585,12998.728705822527,2940.460182279994,12012.743628185905,11259.870064967514,10238.72988129051,188.40579710144928,160
16,14111.285266457679,13951.12979506043,14993.045206159959,13979.472140762462,3037.2294372294373,12807.655502392343,11870.813397129185,10886.989157631358,181.8181818181818,170
17,15029.821459375537,14736.665813278714,15722.135291285509,14704.063883617964,3109.2215988779803,13292.959057071961,12155.184331797236,11483.265263740828,173.38709677419354,180
18,15841.406351143909,15352.863151648427,16422.794863129435,15477.686832146965,3181.8127528702166,13944.539334873907,12388.605139809277,11739.906130240703,163.56877323420073,190
19,16522.800828284377,16106.998831092928,16684.231731036398,16012.79207644556,3200.685443668993,14152.709771918811,12593.071780673916,12180.985359334183,155.93220338983048,200
20,17172.336707950046,16949.83056870534,17332.065325866177,16482.294206432136,3293.342542904202,14438.485472324895,12559.186315932942,12496.455426475708,147.3354231974922,210
21,17672.807246755507,17433.396032831733,17872.975140336806,17131.595829991977,3310.137518899849,14648.837209302324,12559.363525091798,12661.337209302328,151.16279069767444,220
22,18290.27653880464,17690.972464273265,18032.43689160205,17210.032894736847,3333.4128522439246,14656.261343012706,12771.972484402497,13202.093468966534,136.8421052631579,230
23,18885.258745939864,18204.153869778875,18176.13725128176,17649.190634484756,3417.6512102044017,14682.095585321393,12542.96322732077,13346.094659252552,130.2211302211302,240
24,19533.391639449554,18861.897816133867,18912.106210046826,18661.75609693336,3489.1236112950874,14906.881445122775,12461.220927060793,13420.17469645348,129.33025404157047,250
25,20029.354431831212,19171.459694989106,19083.735909822866,19101.224708043934,3600.6758470081095,15175.459694989107,12411.801993277615,13426.238249767664,128.54030501089326,260
26,20761.505069759245,20015.902486277042,19629.45948303434,19775.927548933683,3723.2627744146052,15068.173125468536,12391.90297136072,13612.95995489388,128.83435582822085,270
27,21439.039408866993,20907.91139240506,20024.321266968327,20206.70731707317,3794.421487603306,14981.280193236718,12505.530973451328,13734.243697478993,125.0,280
28,21568.815107931503,20880.213168299815,19705.9233665422,19115.01170309835,3956.4789315220955,14711.774133493065,12424.924947748434,13446.050876690711,124.54873646209387,290
29,22070.644775226272,20325.184460171662,19834.287237824385,19775.02210433245,4059.749394752339,14771.754673419231,12277.586206896553,13478.689148073025,122.41379310344828,300
30,22774.563820018368,20439.49937791274,19987.965830651203,19733.493471298352,4120.5381049988,14684.04665208789,12296.887278860713,13582.957231893404,126.26262626262627,310
31,23106.24309319581,20582.299004993234,20143.768099447374,19683.355116084575,4257.632461259753,14724.087653283728,12234.682372133195,13540.475211007873,125.61174551386624,320
32,23536.933501184834,20634.589751184834,20177.529130884082,19686.57009487598,4403.733772923965,14746.680163806193,12254.001450473092,13635.630539549085,123.22274881516587,330
33,23670.78677976016,20824.869362136913,20191.06907664285,19956.866515837104,4547.434595860992,14691.33754305396,12231.682692307693,13568.531009220664,127.6923076923077,340
34,24005.958375293725,20943.562023718267,20257.140408390653,20483.85780757272,4675.893015816599,14774.845254940099,12362.001918837268,14023.319486404835,132.93051359516616,350
35,24217.652426731183,21336.855424988316,20554.14456869424,20343.426153299664,4851.326500130689,14847.530149994269,12311.542020938168,13990.953785644051,131.2684365781711,360
36,24511.6912106337,21656.309435210453,20451.383206701736,20466.983345062163,5003.356214583222,14924.874035584948,12326.847290640393,14107.976584463186,135.05747126436782,370
37,24751.386670538697,21364.788732394365,20652.768699005384,20363.13310325529,5196.599995712479,15027.267794370917,12225.899843505478,14003.97178837016,135.21126760563382,380
